ENSEMBL	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000163596	0.017191989274973913	1.2623551289271027	0.16151969948215034	0.8722283991008343	0.9329885689138616	-6.963021112188851
ENSG00000185127	-0.05138303301515924	3.321497615863608	-0.1614552906007221	0.8722789018076099	0.9329885689138616	-6.963031592294567
ENSG00000198203	0.00366784114849603	0.10541393966254728	0.16145002076950055	0.8722830338815821	0.9329885689138616	-6.963032449575152
ENSG00000164756	-0.0041688520072885185	0.0051591307131325795	-0.1613932283569505	0.8723275650315483	0.9329885689138616	-6.963041686623065
ENSG00000169877	0.006594330356105731	0.2834870323902352	0.1608482941459207	0.8727548711153919	0.9333601492693435	-6.963130152839403
ENSG00000093183	0.02210054477409444	1.7008065191517017	0.16083147363688324	0.872768061397949	0.9333601492693435	-6.963132878773937
ENSG00000135999	-0.14080054842692025	10.709503115325925	-0.1604991040997387	0.8730287058962042	0.9335678617317567	-6.96318668421783
ENSG00000260708	-0.04073489853963216	1.8266482597334344	-0.16041538711757414	0.8730943590600023	0.9335678617317567	-6.96320021915779
ENSG00000111653	-0.06478879068648136	4.3212704492911875	-0.16040572845016862	0.873101933710738	0.9335678617317567	-6.963201780268513
ENSG00000174038	-0.008491744923677857	0.3359503521919706	-0.16030302429335913	0.8731824784906541	0.9335880090341772	-6.963218374323179
ENSG00000168229	0.002883085160061942	-0.14347828648078856	0.16026299146924294	0.8732138742257742	0.9335880090341772	-6.963224839606448
ENSG00000265929	-0.01942467037804563	-0.07011016012951223	-0.1601998400150372	0.8732634011585376	0.9335911926245005	-6.963235035258175
ENSG00000197506	-0.005245102851424248	0.07208586494597315	-0.16004875402752203	0.8733818933787979	0.9336681015726864	-6.96325941143778
ENSG00000111241	-0.007305245435823837	0.2181390133306998	-0.15966297202598395	0.8736844638660533	0.933941776319026	-6.963321549166888
ENSG00000183154	0.0058309407552226385	0.2532391486655935	0.1595114117337678	0.873803338441532	0.9340091800282778	-6.963345919919501
ENSG00000086730	0.008083957272343567	0.7070318788176672	0.1594638304756006	0.8738406588577285	0.9340091800282778	-6.963353566171531
ENSG00000132589	0.02562532668840067	1.7088856909746415	0.1587566206856474	0.8743953935747089	0.9345038686677665	-6.963466945254884
ENSG00000204614	-0.0052444295776390764	-0.06436745392119213	-0.15875499440996235	0.8743966692969338	0.9345038686677665	-6.963467205397317
ENSG00000265399	0.0036868296842873668	-0.15321040229171354	0.158371335257594	0.8746976377689586	0.934775080078347	-6.963528501904358
ENSG00000189334	0.0049518431781363165	0.028537856923331717	0.15830736628553563	0.874747821213497	0.934775080078347	-6.963538707693932
ENSG00000139645	-0.045074050938309435	1.839077629362932	-0.1582532684745963	0.8747902611682536	0.934775080078347	-6.963547335395593
ENSG00000215187	0.006933108154082713	0.220934089360152	0.15815399717328807	0.8748681408720609	0.9348084940506155	-6.963563159854147
ENSG00000163832	-0.01990496147894186	1.400503562448652	-0.15805194659206856	0.8749482022545751	0.9348442354918629	-6.96357941700522
ENSG00000172766	0.051156843105971773	3.6946739879858295	0.15794383764559725	0.8750330180165558	0.9348627105546264	-6.963596627846387
ENSG00000172262	-0.05616145547783527	3.9224942536912257	-0.15791107889332112	0.875058718849322	0.9348627105546264	-6.963601840685596
ENSG00000117971	-0.006944224900446329	-0.17607506834239364	-0.1578245538318935	0.8751266026135671	0.9348854342184778	-6.963615604062011
ENSG00000254349	-0.0062244524164540935	0.34734742979833977	-0.15771692811675858	0.8752110423389721	0.934925841019996	-6.963632713360726
ENSG00000260578	-0.00898030445988546	0.14384007096108803	-0.1576142380442651	0.8752916110735952	0.934962108632937	-6.963649027166897
ENSG00000197870	0.05967791167644601	2.813918697617466	0.1572347632907597	0.8755893514488817	0.9351212950173182	-6.963709220127413
ENSG00000196387	-0.06805366612073115	4.9130935747359805	-0.15718580869321783	0.8756277631202951	0.9351212950173182	-6.963716974835032
ENSG00000067334	-0.18244462208170892	11.43272202863154	-0.15710690741774494	0.8756896727461271	0.9351212950173182	-6.9637294682014375
ENSG00000256870	0.006492544164218942	0.026457691037772534	0.15708023331070417	0.8757106026727555	0.9351212950173182	-6.963733690408754
ENSG00000007080	0.04296867835263593	2.813750400329449	0.1570777333232428	0.8757125643007834	0.9351212950173182	-6.963734086091581
ENSG00000112981	0.09963993186541273	2.319540299146977	0.15706775856265545	0.8757203910558072	0.9351212950173182	-6.963735664773434
ENSG00000044090	0.021842498710563586	1.6490362498541284	0.1569730703435453	0.8757946893487724	0.9351239983682009	-6.963750645866092
ENSG00000151704	-0.0035555790532642065	-0.03590117275733606	-0.1569456898802449	0.8758161739802696	0.9351239983682009	-6.9637549761825
ENSG00000164300	0.2029286165123588	7.458524272714033	0.15676039462563943	0.8759615720957301	0.9351813857219378	-6.963784261440223
ENSG00000118492	0.007589851929824132	0.44676568844297077	0.15675834719037854	0.875963178708233	0.9351813857219378	-6.963784584837028
ENSG00000172497	0.005681819891135647	0.02369251254591806	0.15654218672703316	0.8761328017207075	0.9352911727603284	-6.963818704102571
ENSG00000198854	-0.011282062863115784	0.3466579667317135	-0.15650844241855577	0.8761592817022862	0.9352911727603284	-6.963824026136956
ENSG00000121895	-0.0032730774464936564	0.11693389343163267	-0.1563377890690943	0.8762931997225747	0.9353271713699954	-6.963850923427952
ENSG00000238199	-0.008190232319425225	0.5769587076432523	-0.15630580588683451	0.8763182985175013	0.9353271713699954	-6.963855961150416
ENSG00000166295	-0.06879947445451867	5.48903023205902	-0.1562871844966608	0.8763329117078971	0.9353271713699954	-6.963858893761159
ENSG00000101384	-0.04593776900240062	1.5312120624505692	-0.1560028620101161	0.8765560399758617	0.935515535214766	-6.963903627251357
ENSG00000186074	0.00854367166729684	0.37127242701495505	0.15577208747034488	0.8767371527216785	0.9356590398013082	-6.963939876009479
ENSG00000178209	0.024735821559530864	0.5923353919467852	0.15569127844934064	0.8768005735166301	0.935676934258249	-6.963952556358124
ENSG00000140937	0.029488581670981954	0.9852569484085029	0.15562601722646793	0.8768517926307248	0.9356818064911847	-6.963962792186601
