ENSEMBL	Non_SHH	SHH	AveExpr	F	P.Value	adj.P.Val
ENSG00000141858	1.9193007814508602	2.596865467536076	2.030376959497617	215.6144982004325	4.5092765461375025e-28	1.1988076671438727e-27
ENSG00000185909	2.8569871748523648	3.0081501761533183	2.8817679947377672	215.60541466289706	4.51426915610459e-28	1.199975907154853e-27
ENSG00000105404	6.589648898971464	8.414372109566337	6.888783851528002	215.56448751543866	4.536835012524068e-28	1.2058145111473986e-27
ENSG00000197361	-0.24760165750921448	-0.2889341891881071	-0.2543774823746068	215.5507414355327	4.544440265171065e-28	1.2076758176529864e-27
ENSG00000233208	0.21075288165771378	0.35916481257844124	0.23508270639881668	215.52459849218815	4.5589406711721625e-28	1.2113687612748925e-27
ENSG00000197982	6.42782049340183	6.1356364355718735	6.379921467528067	215.5182418652509	4.5624736494703734e-28	1.212146926927776e-27
ENSG00000245556	1.489169611824047	1.0050873647710068	1.4098118664055161	215.44333318476228	4.6043212574607445e-28	1.2231028760216251e-27
ENSG00000102158	1.9238689821947776	3.0336244399832824	2.105796106422402	215.41774674256362	4.618705796870648e-28	1.2267615343932953e-27
ENSG00000083535	4.051226163703951	4.9825977327631765	4.203910027484152	215.3774548040578	4.641451895218566e-28	1.2326398200543376e-27
ENSG00000173221	1.159211126196058	0.9999355553305802	1.1331003768738488	215.3469445777241	4.65875290135804e-28	1.2370706764151576e-27
ENSG00000158552	1.7303945023885579	2.0902820425766726	1.789392459796446	215.33307986113613	4.666636982746397e-28	1.2390001499333033e-27
ENSG00000126368	2.05836611881154	1.248780934869363	1.9256472361980688	215.31588398218545	4.676434467588035e-28	1.2414370573387906e-27
ENSG00000176422	0.5046942762821088	0.2219240328980884	0.4583384986781712	215.31310034821732	4.678022462492478e-28	1.2416942629400363e-27
ENSG00000164638	3.780896127583682	1.9539912129922696	3.48140351863427	215.2903113282957	4.691044014083061e-28	1.2449858243542393e-27
ENSG00000166575	3.0662381584965663	3.4643073785181833	3.1314954076804393	215.2639662773637	4.706144160288931e-28	1.2488280931298597e-27
ENSG00000243489	0.4452751928842794	0.4002476289116553	0.43789362501991486	215.1932181537113	4.746943815221885e-28	1.2594880957545988e-27
ENSG00000152944	3.322420608753472	2.759722826248698	3.2301750706379355	215.16242217521793	4.764817535576645e-28	1.2640632340413385e-27
ENSG00000113758	12.326262463591148	11.218579772832559	12.14467513723728	215.1514907421868	4.771178758220881e-28	1.2655834039793414e-27
ENSG00000225663	5.080713307257133	5.331543809627595	5.121833061744094	215.11347936488585	4.793366751386015e-28	1.2713007612509641e-27
ENSG00000111481	7.311656469163419	8.113736771805991	7.443145043367121	215.1104654523079	4.795130588238942e-28	1.2716004109178924e-27
ENSG00000232223	0.35041780936739847	0.3963033645632271	0.3579400315306491	215.08699824132876	4.808887305933327e-28	1.2750799022712693e-27
ENSG00000146433	13.788199306481339	16.930394889561676	14.30331333649451	215.08477066749884	4.810195250124268e-28	1.275258108876303e-27
ENSG00000107731	2.7688720385552403	4.698749625877909	3.08524541352617	215.07622246145795	4.815217835490402e-28	1.2764209477741936e-27
ENSG00000188312	0.5330112129070407	0.4709487248537203	0.522837034537644	214.99193932893277	4.8650303688088335e-28	1.2894548576295753e-27
ENSG00000120899	0.35710474751340454	0.4268128946519403	0.3685323126180826	214.97054204659787	4.877761024387857e-28	1.2926582334186426e-27
ENSG00000165591	0.46585472600959044	0.3533606855808791	0.4474130800376706	214.96800635700845	4.8792719534463785e-28	1.2928878094638731e-27
ENSG00000112293	0.9815141389599927	0.6024593285056357	0.919374006098623	214.9645766839227	4.881316345669517e-28	1.2932586608817415e-27
ENSG00000130811	9.78874562010609	15.717833983953435	10.76072731909746	214.96278629539108	4.882383929187229e-28	1.2933706522755127e-27
ENSG00000234705	0.6441736794868552	0.7931929196090995	0.6686030631134529	214.94537515344274	4.892778540166327e-28	1.2959530692231359e-27
ENSG00000118308	0.3584194858815795	0.28834090859274275	0.3469311945227539	214.90859671408288	4.9148108517016835e-28	1.3016168815757159e-27
ENSG00000075673	0.7208635749252424	0.6040069739224179	0.7017067550887138	214.8957046099523	4.922558179923629e-28	1.3034965257004002e-27
ENSG00000131059	0.3138386469918689	0.2946276296470505	0.310689299886161	214.82866620982796	4.963047892780425e-28	1.3140447331696922e-27
ENSG00000107201	0.4224292306168161	0.7580033803633932	0.4774413863129762	214.73534774937144	5.019984001719996e-28	1.3289440224194329e-27
ENSG00000237441	7.56502215988712	5.521796146370332	7.23006707570404	214.66739882013735	5.061865860539219e-28	1.3398545822749713e-27
ENSG00000160602	1.7446325699309595	1.866978898404951	1.7646893450906307	214.6640640964609	5.06393056513581e-28	1.3402242203003933e-27
ENSG00000138468	2.561683273222339	2.6274882260748464	2.5724709704112754	214.4712326684258	5.184815313539655e-28	1.372036626578062e-27
ENSG00000110583	4.518978114324969	4.250699628983668	4.474998034760821	214.46194241986913	5.19071406642178e-28	1.3734163762025756e-27
ENSG00000186376	0.7380743752915294	0.6800581966921164	0.7285635263408062	214.45140884435875	5.197410648161739e-28	1.3750068323378426e-27
ENSG00000259768	0.4758502103141581	0.5806181710490185	0.49302528584446315	214.438104685954	5.205881353008156e-28	1.3770661621726665e-27
ENSG00000130055	0.39920462615487007	0.37577215675855047	0.395363237729244	214.42789895712738	5.212388969220999e-28	1.3786057387141812e-27
ENSG00000171603	17.797331271987478	15.518281073634281	17.423716485372204	214.42428252366201	5.214696981165652e-28	1.3790343176985537e-27
ENSG00000107862	2.375650795711863	1.6667999923493437	2.259445745980302	214.3952412989884	5.233269460754205e-28	1.3837633791019951e-27
ENSG00000006047	1.0835117150092946	0.818605233280394	1.0400844229225898	214.37567104183253	5.245823598230727e-28	1.3869000538639e-27
ENSG00000163811	3.2374406674281997	3.9180139250778008	3.3490100539281347	214.32692675594745	5.27722808593339e-28	1.3950189335900892e-27
ENSG00000117411	3.177900748478093	2.641034482610157	3.089889885221055	214.1736604443802	5.377244929841031e-28	1.4212707474023682e-27
ENSG00000052795	9.05001923578094	6.1495356404186765	8.574530121787127	214.17049927295042	5.379328309089365e-28	1.4216340567544643e-27
ENSG00000163795	1.4128844239224583	1.3155828562674143	1.3969333472576972	214.16483839277168	5.383061213360433e-28	1.4224331448637265e-27
ENSG00000032742	5.514052145225791	5.063206791992663	5.440143070925278	214.1477130010033	5.394370367009672e-28	1.425233725210723e-27
ENSG00000108590	1.217156365166214	0.9283206912489761	1.1698062546879782	214.12208339415625	5.4113413688385175e-28	1.4295292741494377e-27
ENSG00000226306	0.4188099587273852	0.41200793683481546	0.4176948731712263	214.09019958257525	5.4325307249962515e-28	1.4349379194063589e-27
