PostvsPreinWT	PostvsPreinTG	Diff	TGvsWTPre
ENSDARG00000005561	0	0	0	-1
ENSDARG00000005574	0	0	0	0
ENSDARG00000005576	0	0	0	-1
ENSDARG00000005590	0	0	0	0
ENSDARG00000005593	1	1	0	0
ENSDARG00000005595	0	0	0	0
ENSDARG00000005606	0	0	0	0
ENSDARG00000005612	0	0	0	0
ENSDARG00000005616	0	0	0	0
ENSDARG00000005619	0	0	0	0
ENSDARG00000005625	0	0	0	0
ENSDARG00000005643	-1	-1	0	0
ENSDARG00000005645	1	0	0	0
ENSDARG00000005651	0	0	0	0
ENSDARG00000005652	0	0	0	0
ENSDARG00000005675	-1	0	0	0
ENSDARG00000005679	0	0	0	0
ENSDARG00000005699	-1	0	0	0
ENSDARG00000005704	1	0	0	0
ENSDARG00000005754	0	0	0	0
ENSDARG00000005762	0	0	0	0
ENSDARG00000005772	-1	0	0	0
ENSDARG00000005774	0	0	0	0
ENSDARG00000005775	0	0	0	0
ENSDARG00000005776	0	0	0	0
ENSDARG00000005780	0	0	0	0
ENSDARG00000005789	1	1	0	0
ENSDARG00000005791	0	0	0	0
ENSDARG00000005799	1	0	0	0
ENSDARG00000005827	0	0	0	0
ENSDARG00000005840	0	0	0	0
ENSDARG00000005841	0	0	0	0
ENSDARG00000005867	0	0	0	0
ENSDARG00000005870	0	0	0	0
ENSDARG00000005891	0	0	0	0
ENSDARG00000005897	0	0	0	0
ENSDARG00000005913	0	0	0	-1
ENSDARG00000005915	0	0	0	0
ENSDARG00000005926	1	1	0	0
ENSDARG00000005927	0	0	0	0
ENSDARG00000005941	0	0	0	1
ENSDARG00000005945	-1	-1	0	0
ENSDARG00000005948	0	-1	-1	0
ENSDARG00000005980	0	0	0	0
ENSDARG00000005989	0	0	0	0
ENSDARG00000005993	0	1	0	0
ENSDARG00000006003	0	0	0	0
ENSDARG00000006008	0	0	0	0
ENSDARG00000006010	-1	-1	0	-1
ENSDARG00000006011	0	0	0	0
ENSDARG00000006019	-1	0	0	-1
ENSDARG00000006025	0	0	0	1
ENSDARG00000006031	0	0	0	0
ENSDARG00000006038	0	0	0	0
ENSDARG00000006040	0	0	0	0
ENSDARG00000006052	0	0	0	0
ENSDARG00000006060	0	0	0	0
ENSDARG00000006062	0	0	0	0
ENSDARG00000006065	0	0	0	0
ENSDARG00000006074	0	0	0	0
ENSDARG00000006092	0	0	0	1
ENSDARG00000006109	0	0	0	0
ENSDARG00000006110	0	0	0	0
ENSDARG00000006112	1	1	-1	0
ENSDARG00000006120	0	1	0	1
ENSDARG00000006124	0	0	0	-1
ENSDARG00000006125	1	0	0	0
ENSDARG00000006137	0	0	0	0
ENSDARG00000006174	0	0	0	0
ENSDARG00000006192	0	0	0	0
