	7 days post-amputation dnHIF1a-expressing adult zebrafish, sample 3	Unamputated dnHIF1a-expressing adult zebrafish, sample 2	Unamputated dnHIF1a-expressing adult zebrafish, sample 1	Unamputated wildtype adult zebrafish, sample 3	7 days post-amputation wildtype adult zebrafish, sample 1	7 days post-amputation wildtype adult zebrafish, sample 3	Unamputated dnHIF1a-expressing adult zebrafish, sample 3	7 days post-amputation wildtype adult zebrafish, sample 2	Unamputated wildtype adult zebrafish, sample 1	7 days post-amputation dnHIF1a-expressing adult zebrafish, sample 1	Unamputated wildtype adult zebrafish, sample 2	7 days post-amputation dnHIF1a-expressing adult zebrafish, sample 2
AFFX-r2-TagQ-5	-0.36710451	-0.32528869	-0.37476089	-0.38247087	-0.41263068	-0.43077217	-0.37808146	-0.40984818	-0.36816718	-0.36371522	-0.40697429	-0.39625741
ENSDARG00000000018	0.30102507	0.43310781	0.52134906	0.41004334	0.35872964	0.40073829	0.50892751	0.35747653	0.47305049	0.23915111	0.39784425	0.24501868
ENSDARG00000000019	0.57818701	0.49408269	0.44885143	0.47706008	0.78014732	0.75742798	0.48802309	0.5266893	0.40690149999999997	0.51920439	0.47764940000000006	0.48595249999999995
ENSDARG00000000068	0.19500069	0.1396633	0.0995987	0.19468993	0.22840701	0.23318611	0.16804809	0.16269764	0.23969143	0.09981957	0.14266135	0.1282815
ENSDARG00000000069	0.49532951	0.49746362	0.45674574	0.56505253	0.60832352	0.56874191	0.52703299	0.63115917	0.68386151	0.45431926	0.54481143	0.53310827
ENSDARG00000000103	1.35007876	1.51168974	1.47409703	1.81682285	1.82502217	1.78572442	1.35625541	1.5995787000000001	1.61616719	1.39083736	1.7970213	1.37914588
ENSDARG00000000151	-0.0259283	-0.03824752	-0.09023467	-0.06848165	0.11844285	0.04639932	-0.07714578	-0.02379229	-0.09455442	-0.02096598	-0.04728156	-0.09826915
ENSDARG00000000161	-0.20081603	-0.1913339	-0.2170891	-0.22960287	-0.2345018	-0.24734583	-0.19368414	-0.23443453	-0.27097134	-0.23148106	-0.18969121	-0.15625608
ENSDARG00000000175	-0.17669721	-0.24317737	-0.21314187	-0.24631189	-0.24361206	-0.18885863	-0.19830494	-0.17916369	-0.24657329	-0.14413496	-0.23481351	-0.17782974
ENSDARG00000000183	-0.04988256	-0.01535522	-0.00870858	0.04504747	-0.055848699999999994	-0.07571019999999999	0.01214902	-0.04364566	-0.07809533	0.01937408	0.00941669	-0.030461000000000002
ENSDARG00000000229	-0.30470923	-0.26002695	-0.27192707	-0.29742679	-0.29996322	-0.32812914	-0.30590287	-0.3322973	-0.32267070000000003	-0.25995552	-0.22194009999999997	-0.24561241
ENSDARG00000000241	1.0223716999999999	1.0074663000000001	0.96833126	1.20128148	1.3247135	1.27971323	0.97269036	1.44858165	0.95894583	1.011671	1.15361709	0.92256784
ENSDARG00000000380	-0.23785786	-0.25603959	-0.27130056	-0.24940107	-0.29642332	-0.29498427	-0.34252856	-0.28968392	-0.27592038	-0.28115488	-0.24550507	-0.27432247
ENSDARG00000000394	1.03430822	1.11232873	1.20787995	1.26741211	1.09549761	1.08080974	1.11464201	1.18629409	1.34545601	0.91096876	1.29006452	0.91449004
ENSDARG00000000442	0.57381038	0.60517103	0.62890957	0.90626575	0.83914563	0.87494489	0.61664594	0.63809275	0.8179354	0.535251	0.69122257	0.60121598
ENSDARG00000000460	-0.25303233	-0.25206864	-0.25858178	-0.25432779	-0.28447183	-0.2648346	-0.28808491	-0.23125544	-0.23092235	-0.30679642	-0.26957600000000004	-0.26340754
